"City","Province","Population"
"St. John's","Newfoundland and Labrador","219207"
"Halifax","Nova Scotia","431701"
"Moncton","New Brunswick","152169"
"Saint John","New Brunswick","128541"
"Saguenay","Quebec","159258"
"Québec","Quebec","812205"
"Sherbrooke","Quebec","218633"
"Trois-Rivières","Quebec","158942"
"Montréal","Quebec","4138254"
"Ottawa-Gatineau","Ontario","1040346"
"Ottawa-Gatineau","Quebec","336670"
"Kingston","Ontario","173862"
"Peterborough","Ontario","126291"
"Oshawa","Ontario","402399"
"Toronto","Ontario","6346088"
"Hamilton","Ontario","787195"
"St. Catharines-Niagara","Ontario","416539"
"Kitchener-Cambridge-Waterloo","Ontario","527765"
"Brantford","Ontario","147489"
"Guelph","Ontario","159988"
"London","Ontario","521756"
"Windsor","Ontario","344747"
"Barrie","Ontario","209081"
"Greater Sudbury","Ontario","165270"
"Thunder Bay","Ontario","124164"
"Winnipeg","Manitoba","825713"
"Regina","Saskatchewan","253220"
"Saskatoon","Saskatchewan","323809"
"Calgary","Alberta","1488841"
"Edmonton","Alberta","1411945"
"Kelowna","British Columbia","202208"
"Abbotsford-Mission","British Columbia","190714"
"Vancouver","British Columbia","2571262"
"Victoria","British Columbia","377414"
